日期,收盘,开盘,高,低,交易量,收盘,涨跌幅
2020年12月4日,214.36,214.22,215.38,213.18,24.67,430125632,0.06
2020年12月3日,214.24,214.66,216.37,213.72,25.12,430125632,-0.52
2020年12月2日,215.37,214.89,215.39,212.82,23.72,430125632,-0.39
2020年12月1日,216.21,214.51,217.32,213.35,30.50,430125632,1.00
2020年11月30日,214.07,214.00,214.75,210.85,33.06,430125632,-0.54
2020年11月27日,215.23,214.85,216.27,214.04,14.51,430125632,0.64
2020年11月25日,213.87,214.14,214.91,212.52,21.01,430125632,0.00
2020年11月24日,213.86,210.06,214.24,208.93,33.98,430125632,1.78
2020年11月23日,210.11,210.97,212.27,208.18,25.68,430125632,-0.13
2020年11月20日,210.39,212.20,213.29,210.00,22.84,430125632,-0.96
2020年11月19日,212.42,211.57,212.99,209.93,24.79,430125632,0.63
2020年11月18日,211.08,213.62,215.13,210.99,28.37,430125632,-1.58
2020年11月17日,214.46,216.43,217.61,214.09,24.15,430125632,-1.28
2020年11月16日,217.23,215.17,217.67,214.57,24.95,430125632,0.33
2020年11月13日,216.51,216.36,217.42,214.16,18.63,430125632,0.50
2020年11月12日,215.44,217.00,219.09,214.53,21.62,430125632,-0.51
2020年11月11日,216.55,212.56,218.03,212.22,29.44,430125632,2.63
2020年11月10日,211.01,214.46,216.50,209.76,44.05,430125632,-3.38
2020年11月9日,218.39,224.44,228.11,218.13,44.39,430125632,-2.38
2020年11月6日,223.72,222.26,224.36,218.03,25.23,430125632,0.19
2020年11月5日,223.29,221.91,224.09,221.29,36.08,430125632,3.19
2020年11月4日,216.39,214.02,218.32,212.42,42.31,430125632,4.82
2020年11月3日,206.43,203.89,208.12,203.12,27.51,430125632,2.03
2020年11月2日,202.33,204.29,205.28,200.12,30.84,430125632,-0.07
2020年10月30日,202.47,203.50,204.29,199.62,36.98,430125632,-1.10
2020年10月29日,204.72,204.07,207.36,203.37,31.43,430125632,1.01
2020年10月28日,202.68,207.65,208.72,202.13,51.20,430125632,-4.96
2020年10月27日,213.25,211.65,214.67,210.33,36.70,430125632,1.51
2020年10月26日,210.08,213.73,216.30,208.16,37.11,430125632,-2.84
2020年10月23日,216.23,215.03,216.28,213.16,18.88,430125632,0.62
2020年10月22日,214.89,214.00,215.96,211.79,22.35,430125632,0.04
2020年10月21日,214.80,213.33,216.91,213.33,22.72,430125632,0.07
2020年10月20日,214.65,215.70,217.34,213.13,22.75,430125632,0.20
2020年10月19日,214.22,220.40,222.25,213.74,27.63,430125632,-2.48
2020年10月16日,219.66,220.15,222.29,219.32,26.06,430125632,0.00
2020年10月15日,219.66,216.80,220.32,216.47,22.73,430125632,-0.54
2020年10月14日,220.86,222.98,224.18,219.14,23.45,430125632,-0.90
2020年10月13日,222.86,222.30,225.08,220.46,28.95,430125632,0.66
2020年10月12日,221.40,218.71,223.84,216.82,40.46,430125632,2.59
2020年10月9日,215.81,211.23,215.86,211.23,26.46,430125632,2.48
2020年10月8日,210.58,210.50,211.17,208.42,19.93,430125632,0.36
2020年10月7日,209.83,207.27,209.99,206.77,25.68,430125632,1.90
2020年10月6日,205.91,208.87,210.16,205.00,28.55,430125632,-2.12
2020年10月5日,210.38,207.22,210.41,206.98,21.33,430125632,2.03
2020年10月2日,206.19,208.00,210.99,205.54,33.15,430125632,-2.95
2020年10月1日,212.46,213.59,213.98,211.39,27.16,430125632,1.01
2020年9月30日,210.33,207.72,211.96,206.57,33.83,430125632,1.48
2020年9月29日,207.26,209.53,210.07,206.83,24.46,430125632,-1.04
